"module name","version","licenses"
"@gulp-sourcemaps/identity-map@1.0.1","1.0.1","MIT"
"@gulp-sourcemaps/map-sources@1.0.0","1.0.0","MIT"
"@mapbox/polylabel@1.0.2","1.0.2","ISC"
"@mapbox/unitbezier@0.0.0","0.0.0","BSD-2-Clause"
"@mrmlnc/readdir-enhanced@2.2.1","2.2.1","MIT"
"@nodelib/fs.stat@1.1.2","1.1.2","MIT"
"@types/earcut@2.1.0","2.1.0","MIT"
"@types/events@1.2.0","1.2.0","MIT"
"@types/falcor-http-datasource@0.1.19","0.1.19","MIT"
"@types/falcor-json-graph@1.1.16","1.1.16","MIT"
"@types/falcor@0.1.22","0.1.22","MIT"
"@types/fs-extra@5.0.4","5.0.4","MIT"
"@types/glob@7.1.1","7.1.1","MIT"
"@types/handlebars@4.0.39","4.0.39","MIT"
"@types/highlight.js@9.12.3","9.12.3","MIT"
"@types/jasmine@2.8.9","2.8.9","MIT"
"@types/latlon-geohash@1.1.0","1.1.0","MIT"
"@types/lodash@4.14.116","4.14.116","MIT"
"@types/marked@0.4.2","0.4.2","MIT"
"@types/minimatch@3.0.3","3.0.3","MIT"
"@types/node@10.11.4","10.11.4","MIT"
"@types/pako@1.0.1","1.0.1","MIT"
"@types/rbush@2.0.2","2.0.2","MIT"
"@types/shelljs@0.8.0","0.8.0","MIT"
"@types/three@0.92.24","0.92.24","MIT"
"@types/virtual-dom@2.1.0","2.1.0","MIT"
"@types/when@2.4.33","2.4.33","MIT"
"JSONStream@1.3.1","1.3.1","(MIT OR Apache-2.0)"
"accepts@1.3.5","1.3.5","MIT"
"acorn-node@1.3.0","1.3.0","Apache-2.0"
"acorn@4.0.13","4.0.13","MIT"
"acorn@5.2.1","5.2.1","MIT"
"acorn@5.6.2","5.6.2","MIT"
"after@0.8.2","0.8.2","MIT"
"alphanum-sort@1.0.2","1.0.2","MIT"
"amdefine@1.0.1","1.0.1","BSD-3-Clause OR MIT"
"ansi-regex@2.1.1","2.1.1","MIT"
"ansi-regex@3.0.0","3.0.0","MIT"
"ansi-styles@2.2.1","2.2.1","MIT"
"ansi-styles@3.2.0","3.2.0","MIT"
"ansi-styles@3.2.1","3.2.1","MIT"
"any-promise@1.3.0","1.3.0","MIT"
"anymatch@1.3.0","1.3.0","ISC"
"anymatch@2.0.0","2.0.0","ISC"
"argparse@1.0.9","1.0.9","MIT"
"arr-diff@2.0.0","2.0.0","MIT"
"arr-diff@4.0.0","4.0.0","MIT"
"arr-flatten@1.0.3","1.0.3","MIT"
"arr-flatten@1.1.0","1.1.0","MIT"
"arr-union@3.1.0","3.1.0","MIT"
"array-differ@1.0.0","1.0.0","MIT"
"array-filter@0.0.1","0.0.1","MIT"
"array-flatten@1.1.1","1.1.1","MIT"
"array-from@2.1.1","2.1.1","MIT"
"array-map@0.0.0","0.0.0","MIT"
"array-reduce@0.0.0","0.0.0","MIT"
"array-slice@0.2.3","0.2.3","MIT"
"array-union@1.0.2","1.0.2","MIT"
"array-uniq@1.0.3","1.0.3","MIT"
"array-unique@0.2.1","0.2.1","MIT"
"array-unique@0.3.2","0.3.2","MIT"
"arraybuffer.slice@0.0.7","0.0.7","MIT"
"arrify@1.0.1","1.0.1","MIT"
"asap@2.0.3","2.0.3","MIT"
"asn1.js@4.9.1","4.9.1","MIT"
"assert@1.4.1","1.4.1","MIT"
"assign-symbols@1.0.0","1.0.0","MIT"
"astw@2.2.0","2.2.0","MIT"
"async-each@1.0.1","1.0.1","MIT"
"async-limiter@1.0.0","1.0.0","MIT"
"async@2.6.1","2.6.1","MIT"
"atob@2.1.1","2.1.1","(MIT OR Apache-2.0)"
"autoprefixer@9.1.5","9.1.5","MIT"
"babel-code-frame@6.26.0","6.26.0","MIT"
"backo2@1.0.2","1.0.2","MIT"
"balanced-match@1.0.0","1.0.0","MIT"
"base64-arraybuffer@0.1.5","0.1.5","MIT"
"base64-js@1.2.1","1.2.1","MIT"
